result
     ENTRY_TS     | GROUPID | PLANS_STARTED | PLANS_FINISHED | PLANS_WAITING_LONG | PLANS_WAITING_SHORT | PLANS_RUNNING_LONG | PLANS_RUNNING_SHORT | TARGET_JOB_MAX | TARGET_RSG_PCT | TARGET_RSG_MAX | ACTUAL_RSG_PCT | ACTUAL_RSG_PCT_SAMPLE | ACTUAL_JOB_MAX | ALLOWED_RSG_PCT | ALLOWED_RSG_PCT_SAMPLE | EXPECTED_RSG_PCT | EXPECTED_RSG_PCT_SAMPLE | RSG_HORIZON_US | COMPLIANCE | SAMPLE_SECS | BUSY_SECS | HOST_CPU_SECS | HOST_DISK_READ_SECS | HOST_DISK_WRITE_SECS | HOST_FABRIC_SECS | SPU_CPU_SECS | SPU_DISK_READ_SECS | SPU_DISK_WRITE_SECS | SPU_FABRIC_SECS | SPU_DATA_DISK_READ_SECS | SPU_DATA_DISK_WRITE_SECS | SPU_TEMP_DISK_READ_SECS | SPU_TEMP_DISK_WRITE_SECS 
 1584520461434779 | 6808625 |          1938 |           1918 |              3.096 |                   0 |             14.303 |               2.551 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               70 |                     100 |      600000000 |          4 |          60 |        60 |          0.19 |                   0 |                    0 |                0 |        46.55 |              33.23 |                0.07 |             0.7 |                   33.23 |                     0.07 |                       0 |                        0
 1584520521435105 | 6808625 |          1985 |           1965 |              0.042 |               0.225 |              8.241 |              11.452 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               72 |                      80 |      600000000 |          4 |          60 |        60 |          0.25 |                   0 |                    0 |                0 |        49.37 |              20.11 |                2.16 |            3.99 |                   20.11 |                     2.16 |                       0 |                        0
 1584520581441205 | 6808625 |          2042 |           2024 |              0.028 |                   0 |              8.002 |              11.841 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               73 |                     100 |      600000000 |          4 |       60.01 |     60.01 |          0.23 |                   0 |                    0 |                0 |        48.62 |              35.28 |                 3.7 |            1.55 |                   35.28 |                      3.7 |                       0 |                        0
 1584520641434907 | 6808625 |          2097 |           2079 |              3.111 |               0.047 |             14.918 |               1.347 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               75 |                      84 |      600000000 |          4 |       59.99 |     59.99 |          0.22 |                   0 |                    0 |                0 |        44.75 |              40.78 |                4.13 |            3.42 |                   40.78 |                     4.13 |                       0 |                        0
 1584520701435056 | 6808625 |          2137 |           2121 |              0.001 |                   0 |             16.714 |               1.886 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               75 |                      83 |      600000000 |          4 |          60 |        60 |          0.27 |                   0 |                    0 |                0 |        45.71 |              25.58 |                6.75 |            2.46 |                   25.58 |                     6.75 |                       0 |                        0
 1584520761434838 | 6808625 |          2175 |           2170 |                  0 |                   0 |             10.298 |               1.109 |              0 |             10 |            100 |            100 |                   100 |             18 |              99 |                    100 |               74 |                      25 |      600000000 |          4 |          60 |        60 |          0.19 |                   0 |                    0 |                0 |        47.28 |              14.18 |                3.49 |            1.11 |                   14.18 |                     3.49 |                       0 |                        0
 1584520821500650 | 6808625 |          2194 |           2189 |                  0 |                   0 |               4.73 |                0.25 |              0 |             10 |            100 |            100 |                   100 |              5 |              99 |                    100 |               73 |                      15 |      600000000 |          4 |       60.07 |     60.07 |          0.08 |                   0 |                    0 |                0 |        16.78 |              19.08 |                2.41 |             1.1 |                   19.08 |                     2.41 |                       0 |                        0
 1584520883473741 | 6808625 |          2216 |           2198 |              0.619 |               3.227 |               3.43 |              11.393 |              0 |             10 |            100 |            100 |                   100 |             19 |             100 |                    100 |               74 |                      58 |      600000000 |          4 |       61.97 |     61.97 |          0.13 |                   0 |                    0 |                0 |        17.34 |              20.68 |                0.23 |            0.03 |                   20.68 |                     0.23 |                       0 |                        0
 1584520943806159 | 6808625 |          2258 |           2253 |              0.112 |               0.094 |              3.363 |               4.551 |              0 |             10 |            100 |            100 |                   100 |             18 |             100 |                    100 |               72 |                      15 |      600000000 |          4 |       60.33 |     60.33 |          0.43 |                   0 |                    0 |                0 |        46.35 |              20.31 |                0.86 |            6.84 |                   20.31 |                     0.86 |                       0 |                        0
 1584521003806869 | 6808625 |          2286 |           2278 |                  0 |                   0 |              7.456 |               0.093 |              0 |             10 |            100 |            100 |                   100 |              9 |             100 |                    100 |               70 |                      41 |      600000000 |          4 |          60 |        60 |          0.25 |                   0 |                    0 |                0 |        57.65 |              23.77 |                1.63 |            0.35 |                   23.77 |                     1.63 |                       0 |                        0
